H|1402|892.18|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1578543|ALL CONFERENCING, 269487|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|269487||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210182468|||2011-11-10 13:57:40|MTN|2011-11-10 13:57:40|MTN||||||0|778153|8008999949|1679473|
N|468|8681598|210182468|1|9|Ordinal|VALUE ADDED SERVICE|RARH|4.50|USD|2011-11-10 13:57:40|2011-11-10 13:57:40||ARARC||||||
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1578594|ALL CONFERENCING, 274016|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|274016||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210125512|||2012-01-06 12:57:20|MTN|2012-01-06 13:24:54|MTN||||||0|778203|8008999949|1573604|
B|468|8681598|210125512|3|26|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 12:59:18|2012-01-06 13:24:42|MTN|BX02S||4023523204|18008999949||ALL CONFERENCING|
N|468|8681598|210125512|4|26|Minute|PACKAGE SURCHARGE|RDYA|0.26|USD|2012-01-06 12:59:18|2012-01-06 13:24:42|MTN|BX02S||4023523204|18008999949||ALL CONFERENCING|
B|468|8681598|210125512|1|28|Minute|LONG DISTANCE|L8R|0.14|USD|2012-01-06 12:57:24|2012-01-06 13:24:43|MTN|BX02S||9708670466|18008999949||Participant 1|
N|468|8681598|210125512|2|28|Minute|PACKAGE SURCHARGE|RDYA|0.28|USD|2012-01-06 12:57:24|2012-01-06 13:24:43|MTN|BX02S||9708670466|18008999949||Participant 1|
B|468|8681598|210125512|5|25|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 12:59:39|2012-01-06 13:24:38|MTN|BX02S||6202538143|18008999949||Participant 3|
N|468|8681598|210125512|6|25|Minute|PACKAGE SURCHARGE|RDYA|0.25|USD|2012-01-06 12:59:39|2012-01-06 13:24:38|MTN|BX02S||6202538143|18008999949||Participant 3|
B|468|8681598|210125512|7|26|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 12:59:39|2012-01-06 13:24:43|MTN|BX02S||4036524688|18008999949||Participant 4|
N|468|8681598|210125512|8|26|Minute|PACKAGE SURCHARGE|RDYA|0.26|USD|2012-01-06 12:59:39|2012-01-06 13:24:43|MTN|BX02S||4036524688|18008999949||Participant 4|
B|468|8681598|210125512|9|25|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 13:00:30|2012-01-06 13:24:41|MTN|BX02S||8066261475|18008999949||Participant 5|
N|468|8681598|210125512|10|25|Minute|PACKAGE SURCHARGE|RDYA|0.25|USD|2012-01-06 13:00:30|2012-01-06 13:24:41|MTN|BX02S||8066261475|18008999949||Participant 5|
B|468|8681598|210125512|11|25|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 13:00:34|2012-01-06 13:24:43|MTN|BX02S||8062318922|18008999949||Participant 6|
N|468|8681598|210125512|12|25|Minute|PACKAGE SURCHARGE|RDYA|0.25|USD|2012-01-06 13:00:34|2012-01-06 13:24:43|MTN|BX02S||8062318922|18008999949||Participant 6|
B|468|8681598|210125512|13|24|Minute|LONG DISTANCE|L8R|0.12|USD|2012-01-06 13:00:43|2012-01-06 13:24:42|MTN|BX02S||8062931596|18008999949||Participant 7|
N|468|8681598|210125512|14|24|Minute|PACKAGE SURCHARGE|RDYA|0.24|USD|2012-01-06 13:00:43|2012-01-06 13:24:42|MTN|BX02S||8062931596|18008999949||Participant 7|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579209|ALL CONFERENCING, 345638|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|345638||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210101348|||2012-01-06 08:29:52|MTN|2012-01-06 10:26:47|MTN||||||0|2343978|8008999949|7248668|
B|468|8681598|210101348|1|117|Minute|LONG DISTANCE|L8R|0.59|USD|2012-01-06 08:29:57|2012-01-06 10:26:44|MTN|KX2AS||9494629803|18008999949||Participant 1|
N|468|8681598|210101348|2|117|Minute|PACKAGE SURCHARGE|RDYA|1.17|USD|2012-01-06 08:29:57|2012-01-06 10:26:44|MTN|KX2AS||9494629803|18008999949||Participant 1|
B|468|8681598|210101348|3|3|Minute|LONG DISTANCE|L8R|0.02|USD|2012-01-06 08:34:18|2012-01-06 08:36:27|MTN|KX2AS||7195415079|18008999949||Participant 2|
N|468|8681598|210101348|4|3|Minute|PACKAGE SURCHARGE|RDYA|0.03|USD|2012-01-06 08:34:18|2012-01-06 08:36:27|MTN|KX2AS||7195415079|18008999949||Participant 2|
B|468|8681598|210101348|5|110|Minute|LONG DISTANCE|L8R|0.55|USD|2012-01-06 08:37:08|2012-01-06 10:26:44|MTN|KX2AS||8178345476|18008999949||Participant 3|
N|468|8681598|210101348|6|110|Minute|PACKAGE SURCHARGE|RDYA|1.10|USD|2012-01-06 08:37:08|2012-01-06 10:26:44|MTN|KX2AS||8178345476|18008999949||Participant 3|
B|468|8681598|210101348|7|109|Minute|LONG DISTANCE|L8R|0.55|USD|2012-01-06 08:38:39|2012-01-06 10:26:40|MTN|KX2AS||7195415079|18008999949||Participant 4|
N|468|8681598|210101348|8|109|Minute|PACKAGE SURCHARGE|RDYA|1.09|USD|2012-01-06 08:38:39|2012-01-06 10:26:40|MTN|KX2AS||7195415079|18008999949||Participant 4|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579229|ALL CONFERENCING, 349985|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|349985||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210172182|||2011-12-15 10:00:29|MTN|2011-12-15 10:00:29|MTN||||||0|778838|8008999949|1414993|
N|468|8681598|210172182|1|16|Ordinal|VALUE ADDED SERVICE|RARH|8.00|USD|2011-12-15 10:00:29|2011-12-15 10:00:29||ARARC||||||
C|468|8681598|210172290|||2011-12-22 11:59:23|MTN|2011-12-22 11:59:23|MTN||||||0|778838|8008999949|1414993|
N|468|8681598|210172290|2|9|Ordinal|VALUE ADDED SERVICE|RARH|4.50|USD|2011-12-22 11:59:23|2011-12-22 11:59:23||ARARC||||||
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579245|ALL CONFERENCING, 351213|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|351213||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210158814|||2011-11-14 19:04:00|MTN|2011-11-14 19:04:00|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210158814|1|13|Ordinal|VALUE ADDED SERVICE|RARH|6.50|USD|2011-11-14 19:04:00|2011-11-14 19:04:00||ARARC||||||
C|468|8681598|210158818|||2011-11-14 19:15:47|MTN|2011-11-14 19:15:47|MTN||||||0|778855|8008999949|1160599|
